               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11476,             0.06568,            0.065415,           0.0024971,             0.12411,           0.0035878,           0.0011132,            0.099243,             0.04834,            0.062524,              0.0874,              0.0014,              0.0014
                   1,            0.098972,            0.082639,            0.060634,           0.0097624,              0.4747,            0.018232,           0.0050035,            0.085701,            0.049118,            0.056824,            0.073843,           0.0028426,           0.0028426
                   2,            0.082388,            0.079613,            0.054494,             0.31823,             0.26392,             0.15535,            0.051743,            0.072151,            0.081863,            0.051379,            0.060226,           0.0042258,           0.0042258
                   3,            0.073807,            0.065849,            0.049773,             0.39361,             0.27237,             0.17014,            0.059422,            0.074926,            0.043091,            0.043811,             0.04655,           0.0055495,           0.0055495
                   4,            0.071457,            0.070446,            0.045823,             0.16709,             0.40184,             0.19323,            0.075449,            0.073286,             0.04248,            0.041791,            0.032814,           0.0068139,           0.0068139
                   5,            0.074974,            0.054551,             0.04423,              0.4627,             0.35082,             0.29482,            0.089952,            0.070967,            0.036499,            0.038934,            0.019019,           0.0080189,           0.0080189
                   6,            0.072452,            0.059519,            0.040838,             0.25423,             0.50757,             0.37839,             0.12714,            0.062269,            0.037025,            0.038629,            0.008812,            0.008812,            0.008812
                   7,            0.068265,            0.053897,            0.041248,             0.28872,             0.52921,             0.37778,              0.1506,            0.068588,            0.032883,            0.035956,            0.008812,            0.008812,            0.008812
                   8,             0.06662,            0.055309,            0.036555,             0.55789,             0.48426,             0.41884,             0.18076,            0.064249,            0.033009,            0.032898,            0.008614,            0.008614,            0.008614
                   9,            0.059316,            0.047408,            0.035546,             0.37581,               0.674,             0.53632,             0.23309,            0.063062,            0.030621,            0.030127,            0.008416,            0.008416,            0.008416
